Counts for pub 0: {'00': 1008, '10': 8, '01': 8}
Counts for pub 95: {'10': 705, '11': 108, '00': 190, '01': 21}
Counts for pub 96: {'00': 167, '10': 663, '01': 131, '11': 63}
Counts for pub 97: {'11': 262, '00': 54, '10': 681, '01': 27}
Counts for pub 98: {'11': 442, '00': 434, '01': 70, '10': 78}
Counts for pub 99: {'10': 717, '01': 235, '00': 39, '11': 33}
Counts for pub 100: {'00': 77, '10': 338, '11': 568, '01': 41}
Counts for pub 101: {'11': 334, '10': 543, '01': 73, '00': 74}
Counts for pub 102: {'10': 543, '00': 328, '11': 66, '01': 87}
Counts for pub 103: {'10': 775, '01': 38, '11': 130, '00': 81}
Counts for pub 104: {'01': 89, '10': 330, '11': 492, '00': 113}
Counts for pub 105: {'11': 743, '10': 105, '01': 128, '00': 48}
Counts for pub 106: {'11': 150, '10': 493, '00': 213, '01': 168}
Counts for pub 107: {'11': 764, '01': 131, '10': 94, '00': 35}
Counts for pub 108: {'10': 656, '00': 259, '01': 43, '11': 66}
Counts for pub 109: {'01': 131, '00': 178, '10': 539, '11': 176}
Counts for pub 110: {'00': 312, '10': 503, '01': 119, '11': 90}
Counts for pub 111: {'10': 302, '01': 182, '00': 362, '11': 178}
Counts for pub 112: {'00': 800, '01': 124, '10': 67, '11': 33}
Counts for pub 113: {'01': 369, '10': 151, '11': 131, '00': 373}
Counts for pub 114: {'10': 700, '01': 22, '00': 209, '11': 93}
Counts for pub 115: {'10': 367, '01': 92, '00': 95, '11': 470}
Counts for pub 116: {'00': 458, '01': 179, '11': 221, '10': 166}
Counts for pub 117: {'01': 503, '10': 449, '00': 36, '11': 36}
Counts for pub 118: {'00': 231, '10': 451, '01': 192, '11': 150}
Counts for pub 119: {'10': 359, '01': 360, '00': 170, '11': 135}
Counts for pub 120: {'10': 282, '00': 391, '11': 175, '01': 176}
Counts for pub 121: {'01': 161, '11': 152, '10': 520, '00': 191}
Counts for pub 122: {'10': 559, '11': 158, '01': 134, '00': 173}
Counts for pub 123: {'01': 180, '10': 303, '11': 408, '00': 133}
Counts for pub 124: {'11': 177, '01': 715, '00': 93, '10': 39}
Counts for pub 125: {'01': 180, '10': 502, '00': 204, '11': 138}
Counts for pub 126: {'10': 914, '00': 72, '01': 18, '11': 20}
Counts for pub 127: {'00': 428, '11': 113, '01': 298, '10': 185}
Counts for pub 128: {'11': 725, '10': 225, '01': 35, '00': 39}
Counts for pub 129: {'01': 395, '00': 371, '10': 124, '11': 134}
Counts for pub 130: {'10': 70, '11': 821, '00': 89, '01': 44}
Counts for pub 131: {'10': 744, '11': 83, '00': 171, '01': 26}
Counts for pub 132: {'11': 198, '10': 301, '01': 309, '00': 216}
Counts for pub 133: {'00': 76, '10': 789, '11': 141, '01': 18}
Counts for pub 134: {'11': 483, '00': 192, '01': 224, '10': 125}
Counts for pub 135: {'11': 451, '00': 469, '10': 49, '01': 55}
Counts for pub 136: {'11': 369, '10': 520, '00': 76, '01': 59}
Counts for pub 137: {'01': 119, '00': 479, '10': 301, '11': 125}
Counts for pub 138: {'00': 97, '10': 348, '01': 455, '11': 124}
Counts for pub 139: {'11': 836, '10': 150, '01': 32, '00': 6}
Counts for pub 140: {'00': 614, '11': 238, '10': 105, '01': 67}
Counts for pub 141: {'10': 553, '00': 151, '11': 177, '01': 143}
Counts for pub 142: {'00': 300, '01': 669, '11': 35, '10': 20}
Counts for pub 143: {'01': 324, '10': 376, '11': 164, '00': 160}
Counts for pub 144: {'11': 807, '10': 183, '01': 28, '00': 6}
Counts for pub 145: {'00': 348, '01': 185, '10': 308, '11': 183}
Counts for pub 146: {'11': 662, '10': 260, '01': 46, '00': 56}
Counts for pub 147: {'00': 918, '10': 17, '11': 69, '01': 20}
Counts for pub 148: {'00': 239, '10': 264, '01': 312, '11': 209}
Counts for pub 149: {'01': 325, '10': 270, '00': 229, '11': 200}
Counts for pub 150: {'01': 176, '10': 382, '11': 315, '00': 151}
Counts for pub 151: {'01': 285, '11': 493, '00': 101, '10': 145}
Counts for pub 152: {'11': 754, '10': 105, '00': 44, '01': 121}
Counts for pub 153: {'01': 769, '00': 195, '10': 35, '11': 25}
Counts for pub 154: {'01': 561, '10': 247, '00': 134, '11': 82}
Counts for pub 155: {'01': 285, '00': 157, '11': 480, '10': 102}
Counts for pub 156: {'10': 329, '11': 153, '00': 351, '01': 191}
Counts for pub 157: {'10': 500, '01': 96, '00': 196, '11': 232}
Counts for pub 158: {'10': 699, '00': 280, '11': 22, '01': 23}
Counts for pub 159: {'10': 720, '11': 92, '00': 193, '01': 19}
Counts for pub 160: {'00': 776, '11': 121, '10': 81, '01': 46}
Counts for pub 161: {'11': 159, '00': 373, '01': 181, '10': 311}
Counts for pub 162: {'00': 1014, '10': 4, '01': 6}
Counts for pub 163: {'00': 777, '10': 124, '01': 97, '11': 26}
Counts for pub 164: {'10': 398, '01': 332, '00': 155, '11': 139}
Counts for pub 165: {'01': 68, '00': 585, '11': 265, '10': 106}
Counts for pub 166: {'01': 70, '11': 235, '00': 612, '10': 107}
Counts for pub 167: {'10': 524, '11': 219, '00': 199, '01': 82}
Counts for pub 168: {'00': 613, '11': 227, '01': 69, '10': 115}
Counts for pub 169: {'10': 66, '00': 94, '11': 242, '01': 622}
Counts for pub 170: {'00': 647, '10': 115, '01': 180, '11': 82}
Counts for pub 171: {'00': 628, '11': 78, '10': 132, '01': 186}
Counts for pub 172: {'11': 283, '01': 196, '10': 335, '00': 210}
Counts for pub 173: {'00': 185, '11': 383, '01': 297, '10': 159}
Counts for pub 174: {'10': 399, '01': 165, '00': 139, '11': 321}
Counts for pub 175: {'10': 122, '00': 761, '11': 40, '01': 101}
Counts for pub 176: {'10': 125, '00': 655, '01': 161, '11': 83}
Counts for pub 177: {'10': 59, '01': 582, '11': 246, '00': 137}
Counts for pub 178: {'11': 384, '00': 249, '10': 218, '01': 173}
Counts for pub 179: {'00': 364, '10': 241, '11': 202, '01': 217}
Counts for pub 180: {'10': 393, '00': 473, '01': 77, '11': 81}
Counts for pub 181: {'00': 707, '10': 284, '01': 23, '11': 10}
Counts for pub 182: {'10': 118, '00': 446, '01': 334, '11': 126}
Counts for pub 183: {'10': 239, '00': 710, '01': 51, '11': 24}
Counts for pub 184: {'01': 180, '00': 203, '10': 521, '11': 120}
Counts for pub 185: {'11': 773, '01': 132, '10': 100, '00': 19}
Counts for pub 186: {'00': 796, '01': 50, '11': 97, '10': 81}
Counts for pub 187: {'11': 793, '01': 129, '10': 94, '00': 8}
Counts for pub 188: {'00': 816, '01': 127, '10': 72, '11': 9}
Counts for pub 189: {'00': 616, '11': 238, '10': 114, '01': 56}
Counts for pub 190: {'10': 168, '00': 310, '01': 392, '11': 154}
Counts for pub 191: {'00': 835, '11': 128, '01': 47, '10': 14}
Counts for pub 192: {'01': 493, '00': 284, '10': 114, '11': 133}
Counts for pub 193: {'11': 816, '01': 138, '10': 43, '00': 27}
Counts for pub 194: {'00': 788, '10': 116, '01': 90, '11': 30}
Counts for pub 195: {'01': 205, '10': 485, '11': 135, '00': 199}
Counts for pub 196: {'11': 418, '00': 301, '10': 152, '01': 153}
Counts for pub 197: {'01': 197, '11': 257, '10': 241, '00': 329}
Counts for pub 198: {'00': 785, '01': 54, '11': 98, '10': 87}
Counts for pub 199: {'01': 459, '11': 204, '10': 255, '00': 106}
Counts for pub 200: {'00': 834, '10': 11, '11': 140, '01': 39}
Counts for pub 201: {'01': 58, '00': 783, '11': 113, '10': 70}
Counts for pub 202: {'00': 596, '10': 107, '11': 249, '01': 72}
Counts for pub 203: {'10': 870, '00': 52, '11': 89, '01': 13}
Counts for pub 204: {'11': 313, '01': 51, '10': 576, '00': 84}
Counts for pub 205: {'01': 61, '11': 103, '00': 778, '10': 82}
Counts for pub 206: {'01': 193, '00': 558, '10': 191, '11': 82}
Counts for pub 207: {'11': 792, '00': 68, '10': 87, '01': 77}
Counts for pub 208: {'00': 230, '01': 127, '10': 540, '11': 127}
Counts for pub 209: {'01': 129, '11': 830, '00': 24, '10': 41}
Counts for pub 210: {'01': 249, '10': 219, '00': 361, '11': 195}
Counts for pub 211: {'00': 776, '10': 131, '01': 86, '11': 31}
Counts for pub 212: {'11': 604, '00': 272, '01': 105, '10': 43}
Counts for pub 213: {'01': 464, '00': 249, '11': 209, '10': 102}
Counts for pub 214: {'01': 110, '11': 254, '10': 582, '00': 78}
Counts for pub 215: {'11': 414, '01': 206, '10': 179, '00': 225}
Counts for pub 216: {'00': 698, '10': 289, '11': 20, '01': 17}
Counts for pub 217: {'01': 53, '11': 185, '00': 760, '10': 26}
Counts for pub 218: {'11': 287, '01': 191, '10': 180, '00': 366}
Counts for pub 219: {'10': 471, '00': 192, '01': 106, '11': 255}
Counts for pub 220: {'10': 541, '11': 166, '01': 151, '00': 166}
Counts for pub 221: {'11': 229, '00': 620, '10': 115, '01': 60}
Counts for pub 222: {'11': 640, '00': 21, '01': 341, '10': 22}
Counts for pub 223: {'10': 312, '11': 307, '00': 192, '01': 213}
Counts for pub 224: {'10': 502, '11': 221, '00': 195, '01': 106}
Counts for pub 225: {'00': 828, '11': 138, '01': 45, '10': 13}
Counts for pub 226: {'10': 537, '01': 111, '00': 227, '11': 149}
Counts for pub 227: {'00': 298, '11': 215, '01': 191, '10': 320}
Counts for pub 228: {'00': 289, '11': 573, '10': 60, '01': 102}
Counts for pub 229: {'01': 89, '00': 258, '11': 609, '10': 68}
Counts for pub 230: {'11': 146, '01': 312, '10': 422, '00': 144}
Counts for pub 231: {'01': 240, '00': 718, '11': 33, '10': 33}
Counts for pub 232: {'11': 781, '10': 102, '00': 10, '01': 131}
Counts for pub 233: {'01': 449, '11': 530, '10': 27, '00': 18}
Counts for pub 234: {'00': 79, '01': 580, '10': 140, '11': 225}
Counts for pub 235: {'11': 659, '10': 212, '00': 110, '01': 43}
Counts for pub 236: {'00': 1008, '10': 12, '01': 4}
Counts for pub 237: {'10': 904, '00': 50, '01': 52, '11': 18}
Counts for pub 238: {'01': 223, '00': 635, '11': 74, '10': 92}
Counts for pub 239: {'00': 778, '01': 106, '10': 117, '11': 23}
Counts for pub 240: {'00': 770, '11': 214, '10': 14, '01': 26}
Counts for pub 241: {'00': 185, '10': 730, '11': 77, '01': 32}
Counts for pub 242: {'00': 776, '10': 121, '01': 98, '11': 29}
Counts for pub 243: {'00': 1008, '10': 12, '01': 4}
Counts for pub 244: {'01': 165, '11': 218, '00': 401, '10': 240}
Counts for pub 245: {'00': 815, '01': 34, '11': 163, '10': 12}
Counts for pub 246: {'11': 194, '00': 779, '01': 39, '10': 12}
Counts for pub 247: {'00': 276, '01': 378, '11': 216, '10': 154}
Counts for pub 248: {'00': 815, '11': 158, '01': 35, '10': 16}
Counts for pub 249: {'11': 534, '01': 329, '00': 103, '10': 58}
Counts for pub 250: {'11': 164, '00': 809, '10': 16, '01': 35}
Counts for pub 251: {'00': 821, '11': 142, '10': 20, '01': 41}
Counts for pub 252: {'11': 358, '01': 134, '00': 414, '10': 118}
Counts for pub 253: {'00': 363, '11': 517, '10': 61, '01': 83}
Counts for pub 254: {'01': 205, '00': 249, '11': 373, '10': 197}
Counts for pub 255: {'00': 1017, '10': 5, '01': 2}
Counts for pub 256: {'11': 154, '01': 46, '00': 803, '10': 21}
Counts for pub 257: {'01': 561, '00': 417, '11': 29, '10': 17}
Counts for pub 258: {'01': 240, '10': 237, '00': 287, '11': 260}
Counts for pub 259: {'11': 208, '00': 589, '01': 120, '10': 107}
Counts for pub 260: {'00': 508, '11': 101, '10': 129, '01': 286}
Counts for pub 261: {'00': 796, '10': 47, '01': 133, '11': 48}
Counts for pub 262: {'00': 747, '01': 136, '10': 51, '11': 90}
Counts for pub 263: {'00': 926, '11': 23, '10': 48, '01': 27}
Counts for pub 264: {'10': 244, '00': 407, '11': 179, '01': 194}
Counts for pub 265: {'01': 454, '11': 526, '10': 27, '00': 17}
Counts for pub 266: {'00': 755, '11': 210, '01': 37, '10': 22}
Counts for pub 267: {'01': 437, '11': 522, '10': 30, '00': 35}
Counts for pub 268: {'00': 942, '10': 23, '11': 37, '01': 22}
Counts for pub 269: {'00': 809, '11': 171, '01': 28, '10': 16}
Counts for pub 270: {'01': 226, '10': 84, '00': 575, '11': 139}
Counts for pub 271: {'10': 96, '11': 193, '00': 682, '01': 53}
Counts for pub 272: {'10': 362, '11': 221, '00': 285, '01': 156}
Counts for pub 273: {'11': 728, '10': 201, '01': 32, '00': 63}
Counts for pub 274: {'00': 1009, '10': 9, '01': 6}
Counts for pub 275: {'11': 175, '01': 194, '00': 405, '10': 250}
Counts for pub 276: {'10': 358, '11': 382, '00': 144, '01': 140}
Counts for pub 277: {'11': 458, '00': 427, '10': 61, '01': 78}
Counts for pub 278: {'00': 750, '11': 207, '10': 24, '01': 43}
Counts for pub 279: {'10': 182, '01': 189, '11': 331, '00': 322}
Counts for pub 280: {'00': 643, '01': 70, '11': 204, '10': 107}
Counts for pub 281: {'00': 761, '11': 195, '01': 38, '10': 30}
Counts for pub 282: {'00': 809, '01': 39, '11': 166, '10': 10}
Counts for pub 283: {'10': 506, '00': 196, '01': 112, '11': 210}
Counts for pub 284: {'11': 658, '10': 330, '01': 16, '00': 20}
Counts for pub 285: {'00': 758, '11': 215, '01': 30, '10': 21}
Counts for pub 286: {'00': 891, '10': 56, '01': 62, '11': 15}
Counts for pub 287: {'10': 303, '11': 675, '01': 16, '00': 30}
Counts for pub 288: {'00': 357, '01': 280, '11': 181, '10': 206}
Counts for pub 289: {'11': 718, '10': 208, '00': 70, '01': 28}
Counts for pub 290: {'01': 600, '11': 97, '00': 237, '10': 90}
Counts for pub 291: {'00': 1013, '10': 6, '01': 5}
Counts for pub 292: {'11': 488, '00': 422, '10': 68, '01': 46}
Counts for pub 293: {'00': 593, '01': 393, '10': 24, '11': 14}
Counts for pub 294: {'10': 266, '01': 200, '00': 198, '11': 360}
Counts for pub 295: {'10': 363, '01': 322, '11': 171, '00': 168}
Counts for pub 296: {'01': 142, '00': 789, '10': 40, '11': 53}
Counts for pub 297: {'00': 701, '10': 192, '11': 90, '01': 41}
Counts for pub 298: {'00': 376, '10': 82, '11': 511, '01': 55}
Counts for pub 299: {'00': 267, '01': 391, '11': 226, '10': 140}
Counts for pub 300: {'10': 686, '11': 38, '01': 271, '00': 29}
Counts for pub 301: {'11': 159, '00': 816, '01': 34, '10': 15}
Counts for pub 302: {'11': 835, '10': 95, '01': 86, '00': 8}
Counts for pub 303: {'01': 127, '11': 387, '00': 370, '10': 140}
Counts for pub 304: {'00': 250, '11': 237, '01': 383, '10': 154}
Counts for pub 305: {'11': 221, '00': 624, '01': 67, '10': 112}
Counts for pub 306: {'00': 353, '01': 277, '10': 203, '11': 191}
Counts for pub 307: {'10': 734, '01': 77, '11': 100, '00': 113}
Counts for pub 308: {'00': 366, '11': 546, '10': 66, '01': 46}
Counts for pub 309: {'11': 524, '00': 383, '01': 48, '10': 69}
Counts for pub 310: {'00': 364, '11': 230, '10': 259, '01': 171}
Counts for pub 311: {'00': 379, '01': 494, '10': 85, '11': 66}
Counts for pub 312: {'01': 447, '11': 511, '00': 33, '10': 33}
Counts for pub 313: {'11': 809, '01': 136, '00': 44, '10': 35}
Counts for pub 314: {'00': 214, '11': 432, '10': 118, '01': 260}
Counts for pub 315: {'00': 194, '11': 577, '01': 163, '10': 90}
Counts for pub 316: {'10': 138, '01': 100, '00': 758, '11': 28}
Counts for pub 317: {'00': 253, '10': 668, '11': 81, '01': 22}
Counts for pub 318: {'00': 927, '01': 67, '10': 18, '11': 12}
Counts for pub 319: {'00': 1012, '10': 8, '01': 4}
Counts for pub 320: {'01': 355, '00': 138, '10': 118, '11': 413}
Counts for pub 321: {'11': 304, '10': 348, '01': 192, '00': 180}
Counts for pub 322: {'01': 335, '10': 360, '11': 157, '00': 172}
Counts for pub 323: {'01': 172, '11': 227, '10': 252, '00': 373}
Counts for pub 324: {'00': 1015, '10': 7, '01': 2}
Counts for pub 325: {'00': 598, '10': 314, '11': 57, '01': 55}
Counts for pub 326: {'10': 329, '01': 79, '00': 558, '11': 58}
Counts for pub 327: {'00': 579, '11': 254, '01': 138, '10': 53}
Counts for pub 328: {'00': 598, '10': 309, '01': 65, '11': 52}
Counts for pub 329: {'00': 555, '01': 141, '11': 241, '10': 87}
Counts for pub 330: {'11': 367, '01': 245, '00': 215, '10': 197}
Counts for pub 331: {'01': 233, '11': 387, '10': 211, '00': 193}
Counts for pub 332: {'00': 214, '11': 265, '01': 354, '10': 191}
Counts for pub 333: {'00': 709, '10': 77, '01': 162, '11': 76}
Counts for pub 334: {'00': 107, '11': 523, '01': 119, '10': 275}
Counts for pub 335: {'10': 266, '11': 193, '01': 191, '00': 374}
Counts for pub 336: {'00': 198, '10': 220, '11': 369, '01': 237}
Counts for pub 337: {'11': 150, '01': 481, '10': 266, '00': 127}
Counts for pub 338: {'11': 417, '10': 529, '00': 42, '01': 36}
Counts for pub 339: {'10': 365, '11': 413, '00': 118, '01': 128}
Counts for pub 340: {'00': 294, '11': 586, '10': 64, '01': 80}
Counts for pub 341: {'11': 419, '10': 118, '00': 355, '01': 132}
Counts for pub 342: {'11': 294, '01': 244, '10': 260, '00': 226}
Counts for pub 343: {'11': 377, '01': 132, '10': 163, '00': 352}
Counts for pub 344: {'00': 927, '11': 45, '01': 41, '10': 11}
Counts for pub 345: {'01': 388, '11': 114, '10': 405, '00': 117}
Counts for pub 346: {'11': 391, '10': 137, '01': 366, '00': 130}
Counts for pub 347: {'01': 393, '10': 427, '00': 92, '11': 112}
Counts for pub 348: {'10': 252, '01': 249, '00': 258, '11': 265}
Counts for pub 349: {'00': 586, '10': 328, '01': 64, '11': 46}
Counts for pub 350: {'01': 310, '10': 199, '11': 333, '00': 182}
Counts for pub 351: {'10': 131, '01': 559, '00': 101, '11': 233}
Counts for pub 352: {'11': 609, '10': 198, '00': 159, '01': 58}
Counts for pub 353: {'00': 392, '01': 150, '10': 220, '11': 262}
Counts for pub 354: {'00': 367, '10': 222, '11': 236, '01': 199}
Counts for pub 355: {'00': 927, '11': 43, '01': 42, '10': 12}
Counts for pub 356: {'01': 307, '00': 43, '11': 570, '10': 104}
Counts for pub 357: {'11': 581, '10': 287, '00': 54, '01': 102}
Counts for pub 358: {'11': 428, '10': 150, '01': 321, '00': 125}
Counts for pub 359: {'00': 913, '10': 14, '01': 52, '11': 45}
Counts for pub 360: {'01': 541, '00': 95, '11': 250, '10': 138}
Counts for pub 361: {'11': 395, '01': 339, '00': 152, '10': 138}
Counts for pub 362: {'00': 583, '01': 58, '10': 343, '11': 40}
Counts for pub 363: {'00': 345, '10': 95, '11': 479, '01': 105}
Counts for pub 364: {'11': 247, '01': 255, '10': 294, '00': 228}
Counts for pub 365: {'01': 334, '00': 127, '11': 422, '10': 141}
Counts for pub 366: {'11': 278, '00': 330, '10': 194, '01': 222}
Counts for pub 367: {'01': 350, '11': 439, '00': 131, '10': 104}
Counts for pub 368: {'00': 758, '11': 150, '01': 89, '10': 27}
Counts for pub 369: {'10': 221, '01': 147, '11': 225, '00': 431}
Counts for pub 370: {'00': 535, '01': 263, '10': 119, '11': 107}
Counts for pub 371: {'00': 368, '10': 264, '11': 220, '01': 172}
Counts for pub 372: {'01': 39, '00': 593, '10': 350, '11': 42}
Counts for pub 373: {'01': 433, '00': 183, '10': 235, '11': 173}
Counts for pub 374: {'11': 569, '01': 136, '10': 153, '00': 166}
Counts for pub 375: {'10': 764, '11': 213, '00': 25, '01': 22}
Counts for pub 376: {'11': 455, '01': 135, '00': 336, '10': 98}
Counts for pub 377: {'10': 686, '00': 143, '01': 89, '11': 106}
Counts for pub 378: {'01': 222, '11': 338, '10': 299, '00': 165}
Counts for pub 379: {'11': 250, '10': 79, '00': 534, '01': 161}
Counts for pub 380: {'11': 208, '01': 435, '00': 219, '10': 162}
Counts for pub 381: {'00': 587, '10': 322, '01': 64, '11': 51}
Counts for pub 382: {'10': 72, '00': 282, '11': 561, '01': 109}
Counts for pub 383: {'01': 360, '11': 272, '00': 229, '10': 163}
Counts for pub 384: {'11': 250, '10': 81, '00': 545, '01': 148}
Counts for pub 385: {'01': 573, '11': 211, '00': 104, '10': 136}
Counts for pub 386: {'00': 761, '11': 131, '01': 108, '10': 24}
Counts for pub 387: {'10': 436, '00': 80, '11': 419, '01': 89}
Counts for pub 388: {'10': 339, '00': 574, '11': 69, '01': 42}
Counts for pub 389: {'10': 349, '00': 584, '11': 46, '01': 45}
Counts for pub 390: {'00': 1012, '10': 10, '01': 2}
Counts for pub 391: {'01': 351, '11': 285, '10': 185, '00': 203}
Counts for pub 392: {'10': 455, '01': 382, '11': 97, '00': 90}
Counts for pub 393: {'00': 458, '11': 397, '01': 89, '10': 80}
Counts for pub 394: {'01': 97, '00': 778, '10': 23, '11': 126}
Counts for pub 395: {'01': 165, '10': 445, '00': 154, '11': 260}
Counts for pub 396: {'01': 343, '11': 133, '10': 388, '00': 160}
Counts for pub 397: {'11': 241, '01': 71, '00': 597, '10': 115}
Counts for pub 398: {'00': 328, '10': 262, '01': 217, '11': 217}
Counts for pub 399: {'11': 239, '01': 159, '10': 257, '00': 369}
Counts for pub 400: {'00': 374, '11': 605, '01': 23, '10': 22}
